Companies,URL,Description,Latest Funding Round,Latest Funding Date,Latest Funding Amount,Latest Funding Investors,All Investors,Total Funding,Sector,Industry,Sub-Industry,Continent,Country,State,City,Latest Funding Simplified Round,acc,corp,tag
CathVision,cathvision.com,"CathVision is a medical device company that has developed CathVision Cube, an electrophysiology recording system to treat cardiac arrhythmia and better guide ablation therapy through exceptional EP signal quality. The product comprises a proprietary low-noise console and computer software to stream, analyze, and store EP signals. CathVision Cube interfaces with all existing diagnostic catheters, mapping catheters, and ablation catheters. The system is compatible with existing 3D mapping systems used simultaneously with CathVision Cube recording. The proprietary hardware technology rejects noise, prevents signal artifacts, and improves signal quality by a patented hardware design and patented amplification methodology. The high quality EP recordings are obtained without the use of digital n",Private Equity,2021-02-01,,Nordic Secondary Fund,"Dansk Industri, Innovation Fund Denmark, Markeds Modningsfonden, Nordea Startup Accelerator, Borean Innovation, Vækstfonden, Nordic Secondary Fund",14.22,Healthcare,Medical Devices & Equipment,Patient Monitoring,Europe,Denmark,,Copenhagen,Private Equity,Nordea Startup Accelerator,Nordea,banking
Kuan,kuaninc.com,"Kuan is a financial technology firm offering peer to peer foreign exchange services for businesses. The company offers instant matching services through the online platform that gives clients access to live mid-market rates. Kuan helps businesses to eliminate all the hidden banking fees they have been paying, letting companies send money abroad using real exchange rate at the lowest possible cost whilst improving their working capital.",Seed - III,2019-01-07,0.11,360 Lab,"Startup Wise Guys, Nordea Startup Accelerator, 360 Lab",0.15,Internet,Internet Software & Services,Asset & Financial Management & Trading,Europe,United Kingdom,England,London,Seed,Nordea Startup Accelerator,Nordea,banking
Motorious Entertainment,motorious.fi,"Motorious is a Helsinki based mobile game developer, focused on bringing the best brands to mobile.",Seed VC,2017-05-24,0.89,"Finnvera, Nordea Startup Accelerator","Finnvera, Nordea Startup Accelerator",1.4,Mobile & Telecommunications,Mobile Software & Services,Gaming,Europe,Finland,,Tampere,Seed VC,Nordea Startup Accelerator,Nordea,banking
Asteria,asteriainc.se,"Asteria provides a tool for businesses to secure their payment streams. By bridging existing business software with their service and external partners, Asteria allows the user to get in control of invoices and improve liquidity. With little user interaction, the Asteria service allows for more secure payment streams. Asteria offers scorecards, cashflow forecasts, customer control, payment control, automated actions, and reduced costs.",Incubator/Accelerator - III,2018-07-18,,Kickstart Accelerator,"Nordea Startup Accelerator, EY Start-up Academy, Elevator Lab, Kickstart Accelerator",0.01,Internet,Internet Software & Services,Payments,Europe,Sweden,,Stockholm,Incubator,Nordea Startup Accelerator,Nordea,banking
TAVIQ,taviqinvesting.com,"TAVIQ provides digital solutions for financial companies via software platforms and services for wealth management and investment advising, helping financial companies become modern, scalable, and competitive. TAVIQ offers robo-advisor technology, client risk profiling, and financial technology development.",Seed,2016-08-30,0.01,Nordea Startup Accelerator,Nordea Startup Accelerator,0.01,Internet,Internet Software & Services,Asset & Financial Management & Trading,Europe,Finland,,Oulu,Seed,Nordea Startup Accelerator,Nordea,banking
TikkR,tikkr.co,"TikkR is a mobile application providing customized, short-duration and on-demand insurance protection. TikkR seeks to provide solutions that allow users to purchase insurance when they perceive the greatest need. The user will have the flexibility to purchase either a defined bundle for a set of experience-specific, limited-coverage, customer insurance solutions, or to build their product from the ground up. The highly customizable, short duration nature of TikkR's product offering results in a highly cost-effective insurance solution for the end-user.",Seed - II,2016-12-01,0.02,Startupbootcamp InsurTech,"Nordea Startup Accelerator, Startupbootcamp InsurTech",0.03,Mobile & Telecommunications,Mobile Software & Services,Accounting & Finance,Europe,Sweden,,Stockholm,Seed,Nordea Startup Accelerator,Nordea,banking
Trayce,trayce.io,"Trayce is a digital assistant that helps businesses improve expense management and mileage tracking, helping the users reduce the time spent on managing finances. Trayce's simple, efficient tool features multiple functionalities, including mobile expense reports, clear expense requirements, and seamless integrations, all designed with the user-experience in mind.",Seed,2016-08-30,0.01,Nordea Startup Accelerator,Nordea Startup Accelerator,0.01,Internet,Internet Software & Services,"Billing, Expense Management & Procurement",Europe,Denmark,,Frederiksberg,Seed,Nordea Startup Accelerator,Nordea,banking
Collectly,collectly.co,"Collectly is an automated solution for chasing up late payments. Collectly allows its corporate customers significantly increase financial liquidity by utilizing the in-house made AI to automate B2B receivables management. Colleclty is useful specifically for SMEs, who look for an easy-to-use yet comprehensive solution to automatically collect outstanding debts. By using Collectly, an average user collects about 65% of all outstanding debts fully automatically in a pre-legal stage, without any advances or commissions.",Series A,2021-09-16,3,"Cabra VC, TMT Investments","Nordea Startup Accelerator, Y Combinator, Yuri Sagalov, Cabra.vc, GoAhead Ventures, Granatus Ventures, IT-Farm Corporation, Index Ventures, Lightspeed Venture Partners, OnWave Ventures, WTI Holdings, Cabra VC, TMT Investments",5.5,Internet,Internet Software & Services,"Billing, Expense Management & Procurement",North America,United States,California,Walnut,Series A,Nordea Startup Accelerator,Nordea,banking
YeyNey,yeyney.com,"YeyNey, also stylized as Yey/Ney, gives the user an opportunity to save money towards a set goal by taking a picture of an item they wish to buy and sending it out to their friends. Their friends can vote either Yey(buy) or Ney(don't buy), and give the user visual feedback to not impulse purchase things. YeyNey strives to create apps that are fun and easy to use, that teach young people about important life lessons regarding personal finance, and responsibility. YeyNey also aims to teach young users about consumer behavior, and how to act responsibly towards nature, society and the future.",Seed,2016-08-30,0.01,Nordea Startup Accelerator,Nordea Startup Accelerator,0.01,Mobile & Telecommunications,Mobile Software & Services,Social,Europe,Norway,,Oslo,Seed,Nordea Startup Accelerator,Nordea,banking
Smartcom,smartcom.net,"Smartcom is a cross-platform solution that helps companies reach out to customers on their customers' terms. Companies can set up corporate calling profiles and a fully personalized call screen so that customers can see who is calling them. The Smartcom screen gives companies an opportunity to brand their call screen, mitigate the suspicion of the customers, engage the customers through interactive buttons, and convert more customers. The interactive display can be triggered both when the customer receives a call from the company, or when they make a call to the company.",Seed - II,2018-01-08,,FinTech Innovation Lab,"Nordea Startup Accelerator, L Marks, FinTech Innovation Lab",0.05,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,Europe,United Kingdom,England,London,Seed,Nordea Startup Accelerator,Nordea,banking
