ID,Start time,Completion time,Email,Name,Last modified time,"What is your major?
","What class year are you?
",What section are you in?,Rate your current confidence coding in Python.,"Prior to starting the course, I rate my coding ability as...","At this point in the course, I rate my coding ability as...","On average, what grade do you expect to make in the majority of your classes?
","For fun: What is the output after running the following Python code?

",More coding for fun: What is the output after running the following code?,If we had a comprehensive quiz on the course material tomorrow my expected grade on the exam would be?,What do you think would help you in doing your best on the hypothetical comprehensive quiz? (Select all that apply),How often do you visit Course Assistant office hours,"After visiting Course Assistant hours, I feel 
(Check all that apply)",Why?,How often do you attend Instructor office hours?,"After visiting Course Instructor office hours, I feel 
(Check all that apply):",Why?2,"How often do you receive other outside help for this course (tutoring, outside instructional videos, study group, etc.)?","After receiving outside help for this course, I feel 
(Check all that apply):",Why?3,"My class work benefits most from which of the following? (Rank, most beneficial first)",How likely are you to recommend this class to a friend or colleague?
1,10/30/23 10:17:39,10/30/23 10:21:51,anonymous,,,Biology,Junior,T/R 8 AM,2,No coding experience,Beginning,B,Output:,6,C,Outside Tutoring;Conversations with Classmates;,Never,I have never attended,,Never,I have never attended,,weekly,More likely to succeed in the course,,In-class interactions with course assistants;In-class interactions with classmates;Attending in-person course assistant office hours;Attending virtual course assistant office hours;Attending instructor office hours;In-class interactions with instructors;,5
2,10/30/23 10:24:18,10/30/23 10:27:11,anonymous,,,Chemistry ,1st year,T/R 5:30 PM,4,Good,Good,A,Output:,1,A,Interactions with Instructor in class;Course Assistant Office hours;Instructor Office hours;Participation in class;,1-2 times so far,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,weekly,More likely to succeed in the course,,In-class interactions with instructors;Attending in-person course assistant office hours;Attending instructor office hours;In-class interactions with classmates;In-class interactions with course assistants;Attending virtual course assistant office hours;,9
3,10/30/23 10:26:32,10/30/23 10:35:17,anonymous,,,environmental science ,Junior,T/R 5:30 PM,2,No coding experience,Beginning,B,Output:,6,B,Outside Tutoring;,1-2 times so far,More likely to succeed in the course,,Never,I have never attended,,1-2 times so far,More likely to succeed in the course,,In-class interactions with instructors;Attending in-person course assistant office hours;Attending virtual course assistant office hours;In-class interactions with course assistants;Attending instructor office hours;In-class interactions with classmates;,5
4,10/30/23 10:32:23,10/30/23 10:35:27,anonymous,,,Biochemistry,1st year,T/R 3:30 PM,3,Beginning,Average,B,Output:,6,C,Interactions with Instructor in class;Conversations with Classmates;Instructor Office hours;,1-2 times so far,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,2+ times weekly,More likely to succeed in the course,,In-class interactions with classmates;In-class interactions with course assistants;In-class interactions with instructors;Attending in-person course assistant office hours;Attending instructor office hours;Attending virtual course assistant office hours;,7
5,10/30/23 10:23:58,10/30/23 10:36:26,anonymous,,,Computer Science,1st year,T/R 5:30 PM,4,Beginning,Good,B,Output:,1,A,Interactions with Instructor in class;Conversations with Classmates;Participation in class;Interactions with Course Assistants in class;,Never,I have never attended,,Never,I have never attended,,never,I have never received outside assistance for this course.,,In-class interactions with instructors;In-class interactions with course assistants;In-class interactions with classmates;Attending instructor office hours;Attending in-person course assistant office hours;Attending virtual course assistant office hours;,10
6,10/30/23 10:59:14,10/30/23 11:03:48,anonymous,,10/30/23 11:04:18,Environmental Science,Junior,T/R 5:30 PM,2,No coding experience,Average,A,Output:,6,B,Interactions with Instructor in class;Course Assistant Office hours;Instructor Office hours;Conversations with Classmates;,Weekly,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,Attending instructor office hours;Attending in-person course assistant office hours;In-class interactions with classmates;In-class interactions with instructors;In-class interactions with course assistants;Attending virtual course assistant office hours;,5
7,10/30/23 11:01:15,10/30/23 11:05:01,anonymous,,,biology,1st year,T/R 8 AM,2,No coding experience,Average,C,Output:,6,B,Interactions with Course Assistants in class;Interactions with Instructor in class;Course Assistant Office hours;Instructor Office hours;Conversations with Classmates;,Never,I have never attended,,Never,I have never attended,,2+ times weekly,More likely to succeed in the course,,In-class interactions with course assistants;In-class interactions with instructors;In-class interactions with classmates;Attending in-person course assistant office hours;Attending instructor office hours;Attending virtual course assistant office hours;,7
8,10/30/23 11:01:44,10/30/23 11:05:17,anonymous,,,Environmental Science ,Senior,T/R 5:30 PM,2,No coding experience,Beginning,B,Output:,6,C,Conversations with Classmates;Interactions with Instructor in class;Interactions with Course Assistants in class;,1-2 times so far,More likely to succeed in the course,,Never,I have never attended,,weekly,More likely to succeed in the course,,In-class interactions with classmates;In-class interactions with instructors;In-class interactions with course assistants;Attending in-person course assistant office hours;Attending virtual course assistant office hours;Attending instructor office hours;,5
9,10/30/23 11:10:26,10/30/23 11:16:07,anonymous,,,Biology ,1st year,T/R 3:30 PM,1,No coding experience,Beginning,B,Output:,6,C,Interactions with Course Assistants in class;Interactions with Instructor in class;Conversations with Classmates;,1-2 times so far,More likely to succeed in the course,,Never,I have never attended,,never,I have never received outside assistance for this course.,,In-class interactions with instructors;In-class interactions with course assistants;In-class interactions with classmates;Attending in-person course assistant office hours;Attending virtual course assistant office hours;Attending instructor office hours;,6
10,10/30/23 12:15:41,10/30/23 12:20:37,anonymous,,,Biology,1st year,T/R 8 AM,2,No coding experience,Average,B,Output:,1,C,Participation in class;Conversations with Classmates;Instructor Office hours;,1-2 times so far,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,1-2 times so far,More likely to succeed in the course,,Attending instructor office hours;In-class interactions with classmates;Attending in-person course assistant office hours;In-class interactions with course assistants;In-class interactions with instructors;Attending virtual course assistant office hours;,7
